type,layers,gamename,startdate,enddate,parenthivedb,parentdbname,parenttablename,parentcolumnname,orihivedb,oridbname,oritablename,oricolumnname,hivedb,dbname,tablename,columnname,logstartdate,logenddate,dtbeforeday,dtafterday,logfilename,log,sql,memo,memo2
all,1,tdn,2020-01-16,,,,,,all,dnstaging,accountloginlogs,,extract,dnstaging,accountloginlogs,,,,,,,,,帳號登入Log,
all,1,tdn,2020-01-16,,,,,,all,dnstaging,accountlogoutlogs,,extract,dnstaging,accountlogoutlogs,,,,,,,,,帳號登出Log,
all,1,tdn,2020-01-16,,,,,,all,dnstaging,achievemissionsbuffer,,extract,dnstaging,achievemissionsbuffer,,,,,,,,,達成成就同步作業Table,
all,1,tdn,2020-01-16,,,,,,all,dnstaging,appellationsbuffer,,extract,dnstaging,appellationsbuffer,,,,,,,,,稱號同步作業Table,
all,1,tdn,2020-01-16,,,,,,all,dnstaging,boardgameslogs,,extract,dnstaging,boardgameslogs,,,,,,,,,__(無說明),
all,1,tdn,2020-01-16,,,,,,all,dnstaging,cardcollectionlogs,,extract,dnstaging,cardcollectionlogs,,,,,,,,,卡片收集登錄/刪除,
all,1,tdn,2020-01-16,,,,,,all,dnstaging,cardcollectionstagescorelogs,,extract,dnstaging,cardcollectionstagescorelogs,,,,,,,,,怪物關卡得分,
all,1,tdn,2020-01-16,,,,,,all,dnstaging,cardcollectionsynthesislogs,,extract,dnstaging,cardcollectionsynthesislogs,,,,,,,,,收集強化or合成,
all,1,tdn,2020-01-16,,,,,,all,dnstaging,cashrebirthcoinlogs,,extract,dnstaging,cashrebirthcoinlogs,,,,,,,,,商城復活硬幣,
all,1,tdn,2020-01-16,,,,,,all,dnstaging,characteractionlogs,,extract,dnstaging,characteractionlogs,,,,,,,,,角色動作,
all,1,tdn,2020-01-16,,,,,,all,dnstaging,characterawakenforcelevellogs,,extract,dnstaging,characterawakenforcelevellogs,,,,,,,,,__(無說明),
all,1,tdn,2020-01-16,,,,,,all,dnstaging,characterlevellogs,,extract,dnstaging,characterlevellogs,,,,,,,,,角色等級,
