﻿TABLE_CATALOG,TABLE_SCHEMA,TABLE_NAME,COLUMN_NAME,ORDINAL_POSITION,COLUMN_DEFAULT,IS_NULLABLE,DATA_TYPE,CHARACTER_MAXIMUM_LENGTH,CHARACTER_OCTET_LENGTH,NUMERIC_PRECISION,NUMERIC_PRECISION_RADIX,NUMERIC_SCALE,DATETIME_PRECISION,CHARACTER_SET_CATALOG,CHARACTER_SET_SCHEMA,CHARACTER_SET_NAME,COLLATION_CATALOG,COLLATION_SCHEMA,COLLATION_NAME,DOMAIN_CATALOG,DOMAIN_SCHEMA,DOMAIN_NAME
20200807_UserEditLog,dbo,dtproperties,id,1,,NO,int,,,10.0,10.0,0.0,,,,,,,,,,
20200807_UserEditLog,dbo,dtproperties,objectid,2,,YES,int,,,10.0,10.0,0.0,,,,,,,,,,
20200807_UserEditLog,dbo,dtproperties,property,3,,NO,varchar,64.0,64.0,,,,,,,cp950,,,Chinese_Taiwan_Stroke_CI_AS,,,
20200807_UserEditLog,dbo,dtproperties,value,4,,YES,varchar,255.0,255.0,,,,,,,cp950,,,Chinese_Taiwan_Stroke_CI_AS,,,
20200807_UserEditLog,dbo,dtproperties,uvalue,5,,YES,nvarchar,255.0,510.0,,,,,,,UNICODE,,,Chinese_Taiwan_Stroke_CI_AS,,,
20200807_UserEditLog,dbo,dtproperties,lvalue,6,,YES,image,2147483647.0,2147483647.0,,,,,,,,,,,,,
20200807_UserEditLog,dbo,dtproperties,version,7,(0),NO,int,,,10.0,10.0,0.0,,,,,,,,,,
20200807_UserEditLog,dbo,CAWebAdminGrp,SN,1,,NO,int,,,10.0,10.0,0.0,,,,,,,,,,
20200807_UserEditLog,dbo,CAWebAdminGrp,Name,2,(''),NO,nvarchar,20.0,40.0,,,,,,,UNICODE,,,Chinese_Taiwan_Stroke_CI_AS,,,
20200807_UserEditLog,dbo,CAWebAdminGrp,CanManageAdmin,3,(0),NO,bit,,,,,,,,,,,,,,,
20200807_UserEditLog,dbo,CAWebAdminGrp,CanModifySvc,4,(0),NO,bit,,,,,,,,,,,,,,,
20200807_UserEditLog,dbo,CAWebAdminGrp,CanModifyTest,5,(0),NO,bit,,,,,,,,,,,,,,,
20200807_UserEditLog,dbo,CAWebAdminGrp,CanBlock,6,(0),NO,bit,,,,,,,,,,,,,,,
20200807_UserEditLog,dbo,CAWebAdminID,AdminID,1,,NO,varchar,16.0,16.0,,,,,,,cp950,,,Chinese_Taiwan_Stroke_CI_AS,,,
20200807_UserEditLog,dbo,CAWebAdminID,Name,2,('noname'),NO,nvarchar,20.0,40.0,,,,,,,UNICODE,,,Chinese_Taiwan_Stroke_CI_AS,,,
20200807_UserEditLog,dbo,CAWebAdminID,Password,3,,NO,varchar,24.0,24.0,,,,,,,cp950,,,Chinese_Taiwan_Stroke_CI_AS,,,
20200807_UserEditLog,dbo,CAWebAdminID,IsValid,4,(0),NO,bit,,,,,,,,,,,,,,,
20200807_UserEditLog,dbo,CAWebAdminID,GroupSN,5,,NO,int,,,10.0,10.0,0.0,,,,,,,,,,
20200807_UserEditLog,dbo,CAWebAdminID,Description,6,,YES,nvarchar,30.0,60.0,,,,,,,UNICODE,,,Chinese_Taiwan_Stroke_CI_AS,,,
20200807_UserEditLog,dbo,CAMemo_GameUser,SN,1,,NO,int,,,10.0,10.0,0.0,,,,,,,,,,
20200807_UserEditLog,dbo,CAMemo_GameUser,ServerIdx,2,,NO,tinyint,,,3.0,10.0,0.0,,,,,,,,,,
20200807_UserEditLog,dbo,CAMemo_GameUser,AdminID,3,,NO,varchar,16.0,16.0,,,,,,,cp950,,,Chinese_Taiwan_Stroke_CI_AS,,,
20200807_UserEditLog,dbo,CAMemo_GameUser,UserID,4,,NO,varchar,16.0,16.0,,,,,,,cp950,,,Chinese_Taiwan_Stroke_CI_AS,,,
20200807_UserEditLog,dbo,CAMemo_GameUser,DateCreated,5,(getdate()),NO,smalldatetime,,,,,,0.0,,,,,,,,,
20200807_UserEditLog,dbo,CAMemo_GameUser,MemoText,6,('modified'),NO,nvarchar,1000.0,2000.0,,,,,,,UNICODE,,,Chinese_Taiwan_Stroke_CI_AS,,,
20200807_UserEditLog,dbo,CAAdminPageLog,SN,1,,NO,int,,,10.0,10.0,0.0,,,,,,,,,,
20200807_UserEditLog,dbo,CAAdminPageLog,AdminID,2,,NO,nvarchar,16.0,32.0,,,,,,,UNICODE,,,Chinese_Taiwan_Stroke_CI_AS,,,
20200807_UserEditLog,dbo,CAAdminPageLog,Domain,3,,YES,int,,,10.0,10.0,0.0,,,,,,,,,,
20200807_UserEditLog,dbo,CAAdminPageLog,UserID,4,,YES,nvarchar,16.0,32.0,,,,,,,UNICODE,,,Chinese_Taiwan_Stroke_CI_AS,,,
20200807_UserEditLog,dbo,CAAdminPageLog,DBName,5,,YES,varchar,40.0,40.0,,,,,,,cp950,,,Chinese_Taiwan_Stroke_CI_AS,,,
20200807_UserEditLog,dbo,CAAdminPageLog,MethodName,6,,YES,varchar,40.0,40.0,,,,,,,cp950,,,Chinese_Taiwan_Stroke_CI_AS,,,
20200807_UserEditLog,dbo,CAAdminPageLog,DateCreated,7,(getdate()),NO,smalldatetime,,,,,,0.0,,,,,,,,,
20200807_UserEditLog,dbo,tmp_20110317,sellsn,1,,YES,int,,,10.0,10.0,0.0,,,,,,,,,,
20200807_UserEditLog,dbo,tmp_20110317,Seller,2,,YES,varchar,16.0,16.0,,,,,,,cp950,,,Chinese_Taiwan_Stroke_CS_AS_KS_WS,,,
20200807_UserEditLog,dbo,tmp_20110317,buyer,3,,YES,varchar,16.0,16.0,,,,,,,cp950,,,Chinese_Taiwan_Stroke_CS_AS_KS_WS,,,
20200807_UserEditLog,dbo,tmp_20110317,Itemsn,4,,YES,int,,,10.0,10.0,0.0,,,,,,,,,,
20200807_UserEditLog,dbo,tmp_20110317,Price,5,,YES,int,,,10.0,10.0,0.0,,,,,,,,,,
20200807_UserEditLog,dbo,tmp_20110317,Datecreated,6,,YES,datetime,,,,,,3.0,,,,,,,,,
20200807_UserEditLog,dbo,PlusLucci,Buyer,1,,YES,varchar,16.0,16.0,,,,,,,cp950,,,Chinese_Taiwan_Stroke_CS_AS_KS_WS,,,
20200807_UserEditLog,dbo,PlusLucci,plusLucci,2,,YES,int,,,10.0,10.0,0.0,,,,,,,,,,
20200807_UserEditLog,dbo,PlusLucci,Amount,3,,YES,int,,,10.0,10.0,0.0,,,,,,,,,,
20200807_UserEditLog,dbo,MinusLucci,Seller,1,,YES,varchar,16.0,16.0,,,,,,,cp950,,,Chinese_Taiwan_Stroke_CS_AS_KS_WS,,,
20200807_UserEditLog,dbo,MinusLucci,MinusLucci,2,,YES,int,,,10.0,10.0,0.0,,,,,,,,,,
20200807_UserEditLog,dbo,MinusLucciUser,seller,1,,YES,varchar,16.0,16.0,,,,,,,cp950,,,Chinese_Taiwan_Stroke_CS_AS_KS_WS,,,
20200807_UserEditLog,dbo,MinusLucciUser,minuslucci,2,,YES,int,,,10.0,10.0,0.0,,,,,,,,,,
20200807_UserEditLog,dbo,MinusLucciUser,Mymoney,3,,YES,int,,,10.0,10.0,0.0,,,,,,,,,,
20200807_UserEditLog,dbo,MinusLucciUser,hash,4,,YES,tinyint,,,3.0,10.0,0.0,,,,,,,,,,
20200807_UserEditLog,dbo,tmp_DeleteItemUser,SN,1,,YES,int,,,10.0,10.0,0.0,,,,,,,,,,
20200807_UserEditLog,dbo,tmp_DeleteItemUser,buyer,2,,YES,varchar,16.0,16.0,,,,,,,cp950,,,Chinese_Taiwan_Stroke_CS_AS_KS_WS,,,
20200807_UserEditLog,dbo,tmp_DeleteItemUser,Itemsn,3,,YES,int,,,10.0,10.0,0.0,,,,,,,,,,
20200807_UserEditLog,dbo,tmp_DeleteItemUser,Hash,4,,YES,tinyint,,,3.0,10.0,0.0,,,,,,,,,,
20200807_UserEditLog,dbo,tmp_20110504,UserID,1,,NO,nvarchar,50.0,100.0,,,,,,,UNICODE,,,Chinese_Taiwan_Stroke_CS_AS_KS_WS,,,
20200807_UserEditLog,dbo,tmp_20110504,Amount,2,,NO,int,,,10.0,10.0,0.0,,,,,,,,,,
20200807_UserEditLog,dbo,CAJobLog,sn,1,,NO,int,,,10.0,10.0,0.0,,,,,,,,,,
20200807_UserEditLog,dbo,CAJobLog,strID,2,,NO,varchar,10.0,10.0,,,,,,,cp949,,,Korean_Wansung_CI_AS,,,
20200807_UserEditLog,dbo,CAJobLog,strJob,3,,NO,varchar,150.0,150.0,,,,,,,cp949,,,Korean_Wansung_CI_AS,,,
20200807_UserEditLog,dbo,CAJobLog,strBefore,4,,NO,nvarchar,200.0,400.0,,,,,,,UNICODE,,,Korean_Wansung_CI_AS,,,
20200807_UserEditLog,dbo,CAJobLog,strAfter,5,,NO,nvarchar,200.0,400.0,,,,,,,UNICODE,,,Korean_Wansung_CI_AS,,,
20200807_UserEditLog,dbo,CAJobLog,dtHappened,6,(getdate()),NO,datetime,,,,,,3.0,,,,,,,,,
20200807_UserEditLog,dbo,CAJobLog,Server,7,('Happy'),NO,varchar,10.0,10.0,,,,,,,cp949,,,Korean_Wansung_CI_AS,,,
20200807_UserEditLog,dbo,CAJobLog,UserID,8,('(none)'),NO,varchar,24.0,24.0,,,,,,,cp949,,,Korean_Wansung_CI_AS,,,
20200807_UserEditLog,dbo,CAJobLogTest,sn,1,,NO,int,,,10.0,10.0,0.0,,,,,,,,,,
20200807_UserEditLog,dbo,CAJobLogTest,strID,2,,NO,varchar,10.0,10.0,,,,,,,cp949,,,Korean_Wansung_CI_AS,,,
