TABLE_CATALOG,TABLE_SCHEMA,TABLE_NAME,COLUMN_NAME,ORDINAL_POSITION,COLUMN_DEFAULT,IS_NULLABLE,DATA_TYPE,CHARACTER_MAXIMUM_LENGTH,CHARACTER_OCTET_LENGTH,NUMERIC_PRECISION,NUMERIC_PRECISION_RADIX,NUMERIC_SCALE,DATETIME_PRECISION,CHARACTER_SET_CATALOG,CHARACTER_SET_SCHEMA,CHARACTER_SET_NAME,COLLATION_CATALOG,COLLATION_SCHEMA,COLLATION_NAME,DOMAIN_CATALOG,DOMAIN_SCHEMA,DOMAIN_NAME
20200724_Nxcom_Messenger,dbo,dtproperties,id,1,,NO,int,,,10.0,10.0,0.0,,,,,,,,,,
20200724_Nxcom_Messenger,dbo,dtproperties,objectid,2,,YES,int,,,10.0,10.0,0.0,,,,,,,,,,
20200724_Nxcom_Messenger,dbo,dtproperties,property,3,,NO,varchar,64.0,64.0,,,,,,,cp950,,,Chinese_Taiwan_Stroke_CI_AS,,,
20200724_Nxcom_Messenger,dbo,dtproperties,value,4,,YES,varchar,255.0,255.0,,,,,,,cp950,,,Chinese_Taiwan_Stroke_CI_AS,,,
20200724_Nxcom_Messenger,dbo,dtproperties,uvalue,5,,YES,nvarchar,255.0,510.0,,,,,,,UNICODE,,,Chinese_Taiwan_Stroke_CI_AS,,,
20200724_Nxcom_Messenger,dbo,dtproperties,lvalue,6,,YES,image,2147483647.0,2147483647.0,,,,,,,,,,,,,
20200724_Nxcom_Messenger,dbo,dtproperties,version,7,(0),NO,int,,,10.0,10.0,0.0,,,,,,,,,,
20200724_Nxcom_Messenger,dbo,BlackList,owner_id_code,1,,NO,bigint,,,19.0,10.0,0.0,,,,,,,,,,
20200724_Nxcom_Messenger,dbo,BlackList,blacklist_id_code,2,,NO,bigint,,,19.0,10.0,0.0,,,,,,,,,,
20200724_Nxcom_Messenger,dbo,BlackList,login_id,3,,NO,nvarchar,64.0,128.0,,,,,,,UNICODE,,,Chinese_PRC_CI_AS_KS_WS,,,
20200724_Nxcom_Messenger,dbo,BlackList,nick_name,4,,NO,nvarchar,32.0,64.0,,,,,,,UNICODE,,,Chinese_PRC_CI_AS_KS_WS,,,
20200724_Nxcom_Messenger,dbo,BlackList,memo,5,,NO,nvarchar,32.0,64.0,,,,,,,UNICODE,,,Chinese_PRC_CI_AS_KS_WS,,,
20200724_Nxcom_Messenger,dbo,BlackList,timestamp,6,,NO,datetime,,,,,,3.0,,,,,,,,,
20200724_Nxcom_Messenger,dbo,CategoryList,owner_id_code,1,,NO,bigint,,,19.0,10.0,0.0,,,,,,,,,,
20200724_Nxcom_Messenger,dbo,CategoryList,category_code,2,,NO,int,,,10.0,10.0,0.0,,,,,,,,,,
20200724_Nxcom_Messenger,dbo,CategoryList,category_name,3,,NO,nvarchar,32.0,64.0,,,,,,,UNICODE,,,Chinese_PRC_CI_AS_KS_WS,,,
20200724_Nxcom_Messenger,dbo,FriendList,owner_id_code,1,,NO,bigint,,,19.0,10.0,0.0,,,,,,,,,,
20200724_Nxcom_Messenger,dbo,FriendList,category_code,2,,NO,int,,,10.0,10.0,0.0,,,,,,,,,,
20200724_Nxcom_Messenger,dbo,FriendList,friend_id_code,3,,NO,bigint,,,19.0,10.0,0.0,,,,,,,,,,
20200724_Nxcom_Messenger,dbo,FriendList,login_id,4,,NO,nvarchar,64.0,128.0,,,,,,,UNICODE,,,Chinese_PRC_CI_AS_KS_WS,,,
20200724_Nxcom_Messenger,dbo,FriendList,nick_name,5,(N'alias'),NO,nvarchar,32.0,64.0,,,,,,,UNICODE,,,Chinese_PRC_CI_AS_KS_WS,,,
20200724_Nxcom_Messenger,dbo,FriendList,screen_name,6,,NO,nvarchar,64.0,128.0,,,,,,,UNICODE,,,Chinese_PRC_CI_AS_KS_WS,,,
20200724_Nxcom_Messenger,dbo,FriendList,alias,7,,NO,nvarchar,32.0,64.0,,,,,,,UNICODE,,,Chinese_PRC_CI_AS_KS_WS,,,
20200724_Nxcom_Messenger,dbo,FriendList,flag,8,,NO,int,,,10.0,10.0,0.0,,,,,,,,,,
20200724_Nxcom_Messenger,dbo,FriendList,avatar_item1,9,(0),NO,int,,,10.0,10.0,0.0,,,,,,,,,,
20200724_Nxcom_Messenger,dbo,FriendList,avatar_maskinfo1,10,(0),NO,int,,,10.0,10.0,0.0,,,,,,,,,,
20200724_Nxcom_Messenger,dbo,FriendList,avatar_item2,11,(0),NO,int,,,10.0,10.0,0.0,,,,,,,,,,
20200724_Nxcom_Messenger,dbo,FriendList,avatar_maskinfo2,12,(0),NO,int,,,10.0,10.0,0.0,,,,,,,,,,
20200724_Nxcom_Messenger,dbo,PermNoteBox,serial_no,1,,NO,int,,,10.0,10.0,0.0,,,,,,,,,,
20200724_Nxcom_Messenger,dbo,PermNoteBox,owner_id_code,2,,NO,bigint,,,19.0,10.0,0.0,,,,,,,,,,
